Device Eui,Device Type,PV Bias,PV Size, PV Division, LL Bias,LL Size,LL Division, HH Bias,HH Size, HH Division
3739343554376004,TD-11 temperature of water 2d flour,7,2,10,9,1,1,10,1,1
343438355B37650E,TP-11 current loop 2d flour,14,2,100,8,2,100,10,2,100
